Num_Video,mediaColonne
 VID_RGB_000,2.1
 VID_RGB_000.1,3.7
 VID_RGB_000.2,1.7
 VID_RGB_000.3,2.1
 VID_RGB_001,2.727272727272727
 VID_RGB_001.1,3.0
 VID_RGB_001.2,2.0
 VID_RGB_001.3,3.0
 VID_RGB_002,2.3333333333333335
 VID_RGB_002.1,3.0833333333333335
 VID_RGB_002.2,1.75
 VID_RGB_002.3,2.4166666666666665
 VID_RGB_003,2.4545454545454546
 VID_RGB_003.1,2.0
 VID_RGB_003.2,2.727272727272727
 VID_RGB_003.3,3.6363636363636362
 VID_RGB_004,2.090909090909091
 VID_RGB_004.1,4.181818181818182
 VID_RGB_004.2,1.3636363636363635
 VID_RGB_004.3,2.0
 VID_RGB_005,2.3636363636363638
 VID_RGB_005.1,1.4545454545454546
 VID_RGB_005.2,1.4545454545454546
 VID_RGB_005.3,4.2727272727272725
 VID_RGB_006,3.3636363636363638
 VID_RGB_006.1,1.6363636363636365
 VID_RGB_006.2,2.0
 VID_RGB_006.3,3.8181818181818183
 VID_RGB_007,2.0
 VID_RGB_007.1,1.3
 VID_RGB_007.2,2.3
 VID_RGB_007.3,4.3
 VID_RGB_008,1.8
 VID_RGB_008.1,4.3
 VID_RGB_008.2,1.6
 VID_RGB_008.3,2.0
 VID_RGB_009,2.888888888888889
 VID_RGB_009.1,2.5555555555555554
 VID_RGB_009.2,1.7777777777777777
 VID_RGB_009.3,2.6666666666666665
 VID_RGB_010,3.5
 VID_RGB_010.1,1.5
 VID_RGB_010.2,1.5
 VID_RGB_010.3,3.9
 VID_RGB_011,1.5
 VID_RGB_011.1,1.6
 VID_RGB_011.2,3.6
 VID_RGB_011.3,2.8
 VID_RGB_012,2.0
 VID_RGB_012.1,3.8
 VID_RGB_012.2,1.8
 VID_RGB_012.3,2.2
 VID_RGB_013,2.4545454545454546
 VID_RGB_013.1,2.6363636363636362
 VID_RGB_013.2,1.6363636363636365
 VID_RGB_013.3,3.1818181818181817
 VID_RGB_014,2.7
 VID_RGB_014.1,2.6
 VID_RGB_014.2,2.3
 VID_RGB_014.3,4.0
 VID_RGB_015,1.8181818181818181
 VID_RGB_015.1,2.6363636363636362
 VID_RGB_015.2,3.8181818181818183
 VID_RGB_015.3,2.3636363636363638
 VID_RGB_016,3.727272727272727
 VID_RGB_016.1,2.6363636363636362
 VID_RGB_016.2,1.7272727272727273
 VID_RGB_016.3,2.5454545454545454
 VID_RGB_017,4.636363636363637
 VID_RGB_017.1,1.1818181818181819
 VID_RGB_017.2,1.2727272727272727
 VID_RGB_017.3,2.1818181818181817
 VID_RGB_018,3.2
 VID_RGB_018.1,2.2
 VID_RGB_018.2,1.8
 VID_RGB_018.3,3.6
 VID_RGB_019,3.909090909090909
